ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,,,,,,,,,,,,,,,,,,,,,,,,
02M255,M255,M.S. 255 Salk School of Science,310200010255,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jun 21 2000,Open,M040,319 EAST 19 STREET,MANHATTAN,NY,10003,Jennifer Goodwin,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M260,M260,M.S. 260 Clinton School Writers & Artists,310200010260,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jun 21 2000,Open,M011,320 WEST 21 STREET,MANHATTAN,NY,10011,JOSEPH ANDERSON,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M276,M276,BATTERY PARK CITY SCHOOL,310200010276,DOE,General Academic,K-8,0K,,Jul 1 2009,Open,M860,52 CHAMBERS STREET,MANHATTAN,NY,10007,Terri Ruyter,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M288,M288,Food and Finance High School,310200011288,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",Sep 8 2004,Open,M535,525 WEST 50TH STREET,MANHATTAN,NY,10019,Roger Turgeon,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M289,M289,I.S. 289,310200010289,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",May 27 1998,Open,M089,201 WARREN STREET,MANHATTAN,NY,10282,Ellen Foote,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M290,M290,P.S. 290 Manhattan New School,310200010290,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1999,Open,M190,311 EAST 82 STREET,MANHATTAN,NY,10028,Sharon Hill,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M294,M294,Essex Street Academy,310200011294,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Sep 8 2004,Open,M445,350 GRAND STREET,MANHATTAN,NY,10002,Alex Shub,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M296,M296,High School of Hospitality Management,310200011296,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Sep 8 2004,Open,M535,525 WEST 50TH STREET,MANHATTAN,NY,10019,Matthew Corallo,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M298,M298,Pace High School,310200011298,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Sep 8 2004,Open,M131,100 HESTER STREET,MANHATTAN,NY,10002,Yvette Sy,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M300,M300,"Urban Assembly School of Design and Construction, The",310200011300,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Sep 8 2004,Open,M535,525 WEST 50TH STREET,MANHATTAN,NY,10019,Mathew Willoughby,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M303,M303,"Facing History School, The",310200011303,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2005,Open,M535,525 WEST 50TH STREET,MANHATTAN,NY,10019,Gillian Smith,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M305,M305,"Urban Assembly Academy of Government and Law, The",310200011305,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2005,Open,M445,350 GRAND STREET,MANHATTAN,NY,10002,David P. Glasner,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M308,M308,Lower Manhattan Arts Academy,310200011308,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2005,Open,M445,350 GRAND STREET,MANHATTAN,NY,10002,John Wenk,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M312,M312,New York City Lab Middle School for Collaborative Studies,310200010312,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1999,Open,M070,333 WEST 17 STREET,MANHATTAN,NY,10011,Megan Adams,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
