,system_code,location_code,location_name,primary_address_line_1,LONGITUDE,LATITUDE
538,84K626,K626,Achievement First Brownsville Charter School,2021 BERGEN STREET,-73.912685,40.674456
539,16K627,K627,Brighter Choice Community School,280 HART STREET,-73.941278,40.693654
540,16K628,K628,Brooklyn Brownstone School,272 MACDONOUGH STREET,-73.935891,40.681528
541,18K629,K629,Cultural Academy for the Arts and Sciences,5800 TILDEN AVENUE,-73.922212,40.647728
542,22K630,K630,Professional Pathways High School,3000 AVENUE X,-73.936635,40.593157
543,23K631,K631,General D. Chappie James Elementary School of Scie,76 RIVERDALE AVENUE,-73.913508,40.659618
544,14K632,K632,Frances Perkins Academy,50 BEDFORD AVENUE,-73.953328,40.721448
545,18K633,K633,High School for Medical Professions,1600 ROCKAWAY PARKWAY,-73.898601,40.640543
546,23K634,K634,General D. Chappie James Middle School of Science,76 RIVERDALE AVENUE,-73.913508,40.659618
547,18K635,K635,Olympus Academy,755 EAST  100 STREET,-73.898607,40.645965
548,18K635,K635,Olympus Academy,755 EAST  100 STREET,-73.898607,40.645965
549,16K636,K636,Young Scholars' Academy for Discovery and Explorat,280 HART STREET,-73.941278,40.693654
550,18K637,K637,Academy for Conservation and the Environment,6565 FLATLANDS AVENUE,-73.916927,40.634451
551,19K639,K639,Brooklyn Lab School,999 JAMAICA AVENUE,-73.869305,40.693002
552,14K640,K640,Harry Van Arsdale High School,257 NORTH  6 STREET,-73.9548,40.7151
553,18K642,K642,Urban Action Academy,1600 ROCKAWAY PARKWAY,-73.898601,40.640543
554,23K643,K643,Brooklyn Democracy Academy,985 ROCKAWAY AVENUE,-73.906662,40.655644
555,23K644,K644,Eagle Academy for Young Men II,1137 HERKIMER STREET,-73.915106,40.678124
556,23K645,K645,EBC/ENY High School for Public Safety & Law,1495 HERKIMER STREET,-73.904143,40.677528
557,17K646,K646,Aspirations Diploma Plus High School,402 EASTERN PARKWAY,-73.955188,40.669561
558,23K647,K647,Metropolitan Diploma Plus High School,985 ROCKAWAY AVENUE,-73.906662,40.655644
559,84K648,K648,Bedford Stuyvesant Collegiate Charter School,800 GATES AVENUE,-73.932066,40.68797
560,84K649,K649,La Cima Charter School,800 GATES AVENUE,-73.932066,40.68797
561,84K651,K651,PAVE Academy Charter School,732 HENRY STREET,-74.003372,40.675936
562,84K652,K652,Brooklyn Ascend Charter School,205 Rockaway Parkway,-73.92044,40.661945
563,19K654,K654,Van Siclen Community Middle School,800 VAN SICLEN AVE,-73.885704,40.659934
564,15K656,K656,Brooklyn High School of the Arts,345 DEAN STREET,-73.980266,40.683951
565,19K659,K659,Cypress Hills Collegiate Preparatory School,999 JAMAICA AVENUE,-73.869305,40.693002
566,19K660,K660,W. H. Maxwell Career and Technical Education High,145 PENNSYLVANIA AVENUE,-73.895976,40.673766
567,19K661,K661,Vista Academy,350 LINWOOD STREET,-73.884211,40.677112
568,19K662,K662,Liberty Avenue Middle School,350 LINWOOD STREET,-73.884211,40.677112
569,19K663,K663,School of the Future Brooklyn,574 DUMONT AVENUE,-73.897604,40.665446
570,23K664,K664,Brooklyn Environmental Exploration School (BEES),251 MAC DOUGAL STREET,-73.910719,40.680679
571,15K667,K667,Sunset Park High School,153 35TH STREET,-74.004342,40.655583
572,23K668,K668,Riverdale Avenue Middle School,76 RIVERDALE AVENUE,-73.913508,40.659618
573,16K669,K669,Research and Service High School,1700 FULTON STREET,-73.931604,40.678478
574,13K670,K670,Benjamin Banneker Academy,71-77 CLINTON AVENUE,-73.968759,40.695389
575,23K671,K671,Mott Hall Bridges Academy,210 CHESTER STREET,-73.911279,40.666187
576,16K672,K672,New Eagle Academy at K455,1700 FULTON STREET,-73.931604,40.678478
577,18K673,K673,East Brooklyn Community High School,9517 KINGS HIGHWAY,-73.920658,40.659914
578,13K674,K674,"City Polytechnic High School of Engineering, Archi",105 TECH PLACE,-73.986105,40.695444
579,13K674,K674,"City Polytechnic High School of Engineering, Archi",105 TECH PLACE,-73.986105,40.695444
580,15K676,K676,Red Hook Neighborhood School,27 HUNTINGTON STREET,-74.005151,40.677914
581,19K677,K677,East New York Elementary School of Excellence,605 SHEPHERD AVENUE,-73.879131,40.669358
582,19K678,K678,East New York Middle School of Excellence,605 SHEPHERD AVENUE,-73.879131,40.669358
583,84K680,K680,Achievement First Aspire Charter School,982 HEGEMAN AVENUE,-73.876084,40.665817
584,16K681,K681,Madiba Prep Middle School,1014 LAFAYETTE AVENUE,-73.9317,40.6921
585,16K681,K681,Madiba Prep Middle School,1014 LAFAYETTE AVENUE,-73.9317,40.6921
586,20K682,K682,The Academy of Talented Scholars,50 AVENUE P,-73.986678,40.606994
587,19K683,K683,School for Classics High School,370 FOUNTAIN AVENUE,-73.874537,40.67002
588,15K684,K684,Millennium Brooklyn HS,237 7 AVENUE,-73.97858,40.669255
589,14K685,K685,El Puente Academy for Peace and Justice,250 HOOPER STREET,-73.955741,40.70554
590,20K686,K686,Brooklyn School of Inquiry,50 AVENUE P,-73.986678,40.606994
591,16K688,K688,The Brooklyn Academy of Global Finance,125 STUYVESANT AVENUE,-73.932254,40.691467
592,84K689,K689,Citizens of the World Charter School 1 Williamsbur,424 LEONARD STREET,-73.947932,40.719818
593,21K690,K690,Brooklyn Studio Secondary School,8310 21ST AVENUE,-73.995084,40.60498
594,13K691,K691,Fort Greene Preparatory Academy,100 CLERMONT AVENUE,-73.971644,40.69453
595,84K692,K692,Citizens of the World Charter School New York 2 Cr,791 EMPIRE BOULEVARD,-73.935753,40.663964
596,84K693,K693,Northside Charter High School,424 LEONARD STREET,-73.947932,40.719818
597,84K694,K694,Believe Southside Charter High School,424 LEONARD STREET,-73.947932,40.719818
598,23K697,K697,Teachers Preparatory High School,226 BRISTOL STREET,-73.912102,40.665568
599,15K698,K698,South Brooklyn Community High School,173 CONOVER STREET,-74.014363,40.677968
600,84K701,K701,Brooklyn Charter School,545 WILLOUGHBY AVENUE,-73.947256,40.69447
601,84K702,K702,Community Partnership Charter School,241 EMERSON PLACE,-73.961134,40.691275
602,84K703,K703,Beginning With Children Charter School,850 KENT AVENUE,-73.959999,40.695397
603,84K704,K704,Explore Charter School,655 PARKSIDE AVENUE,-73.951575,40.656423
604,17K705,K705,Brooklyn Arts and Science Elementary School,443 ST MARKS AVENUE,-73.960093,40.6771
605,84K707,K707,Brooklyn Prospect Charter School,3002 FORT HAMILTON PARKWAY,-73.97872,40.647893
606,84K710,K710,Brownsville Collegiate Charter School,364 SACKMAN STREET,-73.90514,40.668768
